Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;Столбец7;Столбец8;Столбец9;Столбец10;Столбец11;Столбец12;score
'min_child_weight': 1.0; 'n_estimators': 656.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 8; 'eta': 0.30000000000000004; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5682903533906399
'min_child_weight': 4.0; 'n_estimators': 288.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 6; 'eta': 0.07500000000000001; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5682903533906399
'min_child_weight': 3.0; 'n_estimators': 405.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9500000000000001; 'max_depth': 1; 'eta': 0.1; 'subsample': 0.5; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5682903533906399
'min_child_weight': 1.0; 'n_estimators': 920.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 1; 'eta': 0.025; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5673352435530086
'min_child_weight': 3.0; 'n_estimators': 128.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 10; 'eta': 0.05; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.5; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5673352435530086
'min_child_weight': 4.0; 'n_estimators': 347.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9; 'max_depth': 5; 'eta': 0.225; 'subsample': 0.9500000000000001; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5663801337153773
'min_child_weight': 4.0; 'n_estimators': 769.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9; 'max_depth': 9; 'eta': 0.2; 'subsample': 0.75; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5663801337153773
'min_child_weight': 3.0; 'n_estimators': 285.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 8; 'eta': 0.15000000000000002; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.9500000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5663801337153773
'min_child_weight': 2.0; 'n_estimators': 134.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 9; 'eta': 0.025; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5663801337153773
'min_child_weight': 6.0; 'n_estimators': 798.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 4; 'eta': 0.42500000000000004; 'subsample': 0.9500000000000001; 'num_class': 5; 'colsample_bytree': 1.0; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.565425023877746
